user_id,retweet_count,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,Trust score
1,1136,101,514,0,964,88,27/12/09 14:20,4
2,1136,2697,2762,35,7605,14665,8/7/2008 10:41,5
3,51,4172,4991,24,11015,4072,30/03/10 11:15,4
4,39,371,208,2,13752,3968,2/6/2008 13:11,4
5,1136,349,340,0,7347,1193,30/03/10 14:46,5
6,1,349,340,0,7347,1193,30/03/10 14:46,4
7,4,349,340,0,7347,1193,30/03/10 14:46,4
8,17,349,340,0,7347,1193,30/03/10 14:46,4
9,2,349,340,0,7347,1193,30/03/10 14:46,4
10,1,349,340,0,7347,1193,30/03/10 14:46,4
11,24,349,340,0,7347,1193,30/03/10 14:46,4
12,1,349,340,0,7347,1193,30/03/10 14:46,4
13,2,349,340,0,7347,1193,30/03/10 14:46,4
14,51,349,340,0,7347,1193,30/03/10 14:46,4
15,14,349,340,0,7347,1193,30/03/10 14:46,4
16,45,349,340,0,7347,1193,30/03/10 14:46,4
17,38,349,340,0,7347,1193,30/03/10 14:46,4
18,6,349,340,0,7347,1193,30/03/10 14:46,4
19,133,349,340,0,7347,1193,30/03/10 14:46,4
20,1,349,340,0,7347,1193,30/03/10 14:46,4
21,39,349,340,0,7347,1193,30/03/10 14:46,4
22,12,349,340,0,7347,1193,30/03/10 14:46,4
23,32,349,340,0,7347,1193,30/03/10 14:46,4
24,13,349,340,0,7347,1193,30/03/10 14:46,4
25,1136,3390,5003,2,3926,7066,15/08/08 07:48,5
26,0,842,933,14,3210,1331,24/05/10 18:55,2
27,39,927,951,0,7045,187,20/08/06 08:44,5
28,1136,367,360,0,365,711,29/07/13 12:37,5
29,1136,120,382,0,822,2152,11/10/2009 11:55,2
30,1136,49,183,1,609,1258,7/6/2013 6:16,2
31,1136,4527,4593,20,22335,25203,3/5/2008 5:59,5
32,39,450,840,5,2015,2209,2/10/2006 7:52,2
33,31,116,83,0,208,4602,14/12/13 17:28,2
34,39,707,929,12,1553,6906,23/08/12 05:32,2
35,1136,829,1660,0,5235,46934,3/9/2013 12:19,4
36,51,22115,13188,19,39753,17090,25/06/10 07:35,2
37,1136,999,588,8,54048,280,29/11/07 15:16,4
38,1136,85,162,0,735,1175,23/08/08 18:36,2
39,1136,44,160,0,320,1695,4/2/2013 19:25,2
40,39,8297,7165,0,2269,18165,3/1/2015 13:01,2
41,39,4382,4981,6,13333,11839,12/7/2013 14:04,2
42,38,54663,45450,9,62143,54003,21/08/13 11:21,2
43,51,54663,45450,9,62143,54003,21/08/13 11:21,2
44,1136,905,1076,0,12472,15179,10/7/2009 8:24,5
45,1136,625,149,5,13915,4605,14/07/07 13:38,2
46,77,339,343,0,692,78,5/11/2008 11:39,4
47,1136,339,343,0,692,78,5/11/2008 11:39,5
48,1136,453,805,6,13308,8626,5/1/2008 21:20,5
49,1136,2283,1967,0,3001,4376,11/6/2008 9:13,5
